Comment:,,
Operator Name:,,Gruppe 25
Customer Name:,,
Part Number:,,
Serial Number:,,
Date Code:,,
Time:,,17:33:00
Date:,,11-07-2019
Test Type:,,Flux
Test Units:,,lumens
Value:,,4.769889
Power(Watts):,,1.666e-2
CIE x =,,0.2774
CIE y = ,,0.3352
CIE z =,,0.3874
u prime =,,0.1716
v prime =,,0.4665
Kelvin =,,8498
Dominant Wavelength =,,492
Peak Wavelength =,,549
Purity =,,18.7
R1:,,34.7
R2:,,61.6
R3:,,76.8
R4:,,42.3
R5:,,45.6
R6:,,52.2
R7:,,75.4
R8:,,33.6
R9:,,-148.8
R10:,,11.9
R11:,,26.8
R12:,,40.4
R13:,,39.6
R14:,,84.0
Ra = ,,52.8
Integration Time(ms):,,15.0
Start Wavelength:,,300
Stop Wavelength:,,800
        nm,,    uW/nm
300,,0.000465
301,,0.008314
302,,-0.018929
303,,0.022859
304,,0.019223
305,,-0.014081
306,,0.049526
307,,0.039253
308,,0.063495
309,,0.081041
310,,0.041677
311,,0.059223
312,,0.02892
313,,0.021071
314,,0.089526
315,,0.116193
316,,0.127737
317,,0.16589
318,,0.16895
319,,0.158041
320,,0.211951
321,,0.221071
322,,0.25195
323,,0.287102
324,,0.31804
325,,0.394981
326,,0.412586
327,,0.424707
328,,0.431344
329,,0.516828
330,,0.596193
331,,0.684678
332,,0.825919
333,,0.929526
334,,1.076828
335,,1.172586
336,,1.242254
337,,1.25501
338,,1.316193
339,,1.340435
340,,1.41501
341,,1.540436
342,,1.59198
343,,1.659859
344,,1.775587
345,,1.86107
346,,1.970738
347,,2.042253
348,,2.144707
349,,2.210738
350,,2.372586
351,,2.484101
352,,2.678617
353,,3.00895
354,,3.274981
355,,3.437406
356,,3.738647
357,,4.039829
358,,4.425919
359,,4.808949
360,,5.50286
361,,6.521677
362,,8.163466
363,,9.358616
364,,10.566525
365,,11.538011
366,,12.49501
367,,13.797406
368,,15.072556
369,,16.856222
370,,17.93195
371,,18.235615
372,,18.212585
373,,17.974375
374,,17.657434
375,,17.312555
376,,17.093798
377,,16.982283
378,,16.928312
379,,17.031981
380,,17.190132
381,,17.34407
382,,17.50592
383,,17.694374
384,,17.850159
385,,17.987131
386,,18.237404
387,,18.327736
388,,18.513767
389,,18.70713
390,,18.845312
391,,19.438618
392,,20.079254
393,,21.101648
394,,22.314405
395,,23.322887
396,,25.130737
397,,27.0938
398,,29.237406
399,,30.845892
400,,33.492584
401,,36.849522
402,,42.925308
403,,53.822857
404,,62.825283
405,,77.693794
406,,89.725883
407,,94.394402
408,,93.276192
409,,89.655594
410,,83.496223
411,,78.186501
412,,74.524094
413,,71.815582
414,,70.32589
415,,68.182281
416,,66.121048
417,,64.890167
418,,64.593773
419,,64.996193
420,,66.382286
421,,68.769531
422,,70.920471
423,,74.050751
424,,76.376793
425,,78.89138
426,,81.014381
427,,82.713196
428,,84.356201
429,,87.456215
430,,90.015007
431,,92.845894
432,,95.44532
433,,98.178009
434,,103.562889
435,,107.034409
436,,113.317413
437,,120.66713
438,,125.414375
439,,128.693802
440,,129.274399
441,,124.913788
442,,116.947144
443,,108.471336
444,,99.981071
445,,94.68589
446,,91.794983
447,,87.673187
448,,84.582855
449,,82.229553
450,,79.471344
451,,76.920471
452,,74.790771
453,,70.901649
454,,67.766525
455,,64.762253
456,,63.069561
457,,61.613163
458,,60.594982
459,,58.800465
460,,55.900433
461,,53.138641
462,,50.695587
463,,48.67683
464,,47.915619
465,,46.958618
466,,46.629555
467,,47.096806
468,,47.987133
469,,48.853165
470,,49.890739
471,,51.360466
472,,53.130737
473,,55.040459
474,,56.522259
475,,57.353188
476,,57.810738
477,,58.114979
478,,58.216225
479,,58.724682
480,,59.661072
481,,61.021648
482,,63.526524
483,,65.491379
484,,68.730736
485,,72.058647
486,,74.627701
487,,75.931374
488,,75.969521
489,,74.759254
490,,73.446533
491,,71.009521
492,,67.71804
493,,63.878613
494,,60.166523
495,,57.04953
496,,54.77137
497,,53.12468
498,,51.946495
499,,50.279251
500,,48.603462
501,,46.795616
502,,45.242252
503,,43.768955
504,,42.52589
505,,41.86771
506,,41.150772
507,,40.593769
508,,40.215012
509,,40.008316
510,,39.850159
511,,40.015583
512,,40.322887
513,,40.617435
514,,41.125893
515,,41.60289
516,,42.163464
517,,42.695007
518,,43.405888
519,,43.950768
520,,44.539227
521,,44.966522
522,,45.23077
523,,45.521042
524,,45.619858
525,,45.727104
526,,45.850163
527,,45.862862
528,,45.97501
529,,46.476189
530,,47.394405
531,,48.53986
532,,50.736801
533,,53.128944
534,,55.467712
535,,57.619858
536,,59.9865
537,,63.142284
538,,66.877411
539,,70.708351
540,,74.272552
541,,76.494385
542,,80.198044
543,,86.536804
544,,100.45137
545,,122.242249
546,,146.533783
547,,167.830154
548,,179.599243
549,,183.028931
550,,179.951996
551,,172.607101
552,,162.093796
553,,153.804108
554,,141.03862
555,,128.505905
556,,116.961044
557,,106.913193
558,,98.136803
559,,90.871971
560,,85.118614
561,,80.524094
562,,76.733162
563,,73.241684
564,,69.907707
565,,67.924675
566,,65.156837
567,,62.881042
568,,62.088947
569,,62.548927
570,,64.848946
571,,69.048317
572,,74.704712
573,,81.102867
574,,87.291374
575,,92.147705
576,,95.154404
577,,95.94165
578,,94.519264
579,,91.313782
580,,86.784698
581,,83.422287
582,,78.43013
583,,73.524101
584,,68.850739
585,,64.572594
586,,60.387703
587,,56.739857
588,,53.444683
589,,50.455013
590,,47.868919
591,,45.424706
592,,43.208313
593,,41.361679
594,,39.687103
595,,38.18713
596,,36.805889
597,,35.270767
598,,33.785286
599,,32.390766
600,,31.085892
601,,30.013798
602,,28.985285
603,,27.985918
604,,27.093161
605,,26.501646
606,,25.731375
607,,24.987709
608,,24.190771
609,,23.444679
610,,22.582285
611,,22.020435
612,,21.476828
613,,20.978012
614,,20.593191
615,,20.163464
616,,19.796829
617,,19.645887
618,,19.440464
619,,19.391344
620,,19.325314
621,,19.251949
622,,19.172585
623,,19.133162
624,,19.074402
625,,18.976797
626,,18.868341
627,,18.637405
628,,18.446526
629,,18.163467
630,,17.909557
631,,17.599829
632,,17.307131
633,,16.965889
634,,16.682892
635,,16.358616
636,,16.046526
637,,15.771952
638,,15.447739
639,,15.117405
640,,14.827132
641,,14.538011
642,,14.279253
643,,14.07377
644,,13.810161
645,,13.561042
646,,13.314404
647,,13.033768
648,,12.876828
649,,12.627709
650,,12.522889
651,,12.254375
652,,12.07198
653,,11.914981
654,,11.693798
655,,11.545283
656,,11.367737
657,,11.096223
658,,10.985284
659,,10.867131
660,,10.678617
661,,10.585919
662,,10.433768
663,,10.322888
664,,10.146497
665,,9.993192
666,,9.864072
667,,9.702282
668,,9.642252
669,,9.492585
670,,9.359828
671,,9.184706
672,,9.031343
673,,8.840465
674,,8.693161
675,,8.567737
676,,8.450738
677,,8.326524
678,,8.18892
679,,7.97801
680,,7.806525
681,,7.628921
682,,7.430768
683,,7.250738
684,,7.105919
685,,6.971951
686,,6.856223
687,,6.687102
688,,6.505919
689,,6.367101
690,,6.223495
691,,6.082254
692,,5.941071
693,,5.819224
694,,5.727102
695,,5.628344
696,,5.500435
697,,5.333797
698,,5.146496
699,,5.027131
700,,4.88589
701,,4.821071
702,,4.688314
703,,4.584707
704,,4.399829
705,,4.280465
706,,4.132586
707,,4.056799
708,,3.914404
709,,3.76589
710,,3.667131
711,,3.562254
712,,3.487737
713,,3.442253
714,,3.353192
715,,3.30286
716,,3.130738
717,,3.017435
718,,2.888314
719,,2.773798
720,,2.727102
721,,2.645313
722,,2.511344
723,,2.410162
724,,2.251374
725,,2.170738
726,,2.103495
727,,1.996193
728,,1.961677
729,,1.884678
730,,1.833192
731,,1.74286
732,,1.618011
733,,1.56895
734,,1.500436
735,,1.423495
736,,1.352557
737,,1.239253
738,,1.194981
739,,1.116828
740,,1.087737
741,,1.066496
742,,1.047737
743,,1.015587
744,,0.985919
745,,0.954981
746,,0.856799
747,,0.834404
748,,0.825284
749,,0.813798
750,,0.774375
751,,0.730162
752,,0.667708
753,,0.670132
754,,0.662283
755,,0.660435
756,,0.652586
757,,0.615587
758,,0.647737
759,,0.657434
760,,0.674981
761,,0.663495
762,,0.659223
763,,0.687737
764,,0.71198
765,,0.712557
766,,0.692586
767,,0.693163
768,,0.673192
769,,0.653162
770,,0.569526
771,,0.530161
772,,0.529526
773,,0.589556
774,,0.602254
775,,0.578011
776,,0.554404
777,,0.54892
778,,0.526525
779,,0.504072
780,,0.434981
781,,0.394404
782,,0.390132
783,,0.387131
784,,0.416799
785,,0.370738
786,,0.341071
787,,0.374375
788,,0.393192
789,,0.404101
790,,0.414375
791,,0.330162
792,,0.322254
793,,0.287737
794,,0.258646
795,,0.278617
796,,0.270768
797,,0.271345
798,,0.258011
799,,0.222283
800,,0.201042
